Titre,Prix,Adresse,Description,Prix_scaled
Porte salon ou balcon antibruit double battants,129000.0,Nord foire Dakar,portes deux ouvrants pvc double battants double vitrage quasi blindée étanche isolante thermique phonique confort sécurité garantie cas fermeture idéales bordure marine routièrenous nord foire face brioche doree,-0.08229471505206658
Porte toilette pvc avec cadre,70000.0,Nord foire Dakar,porte toilette pvc très résistance leau disponible nord foire face brioche doree,-0.10376039334631203
Porte avec cadre neuve,50000.0,Nord foire Dakar,porte cadre bois venant france disponible nord foire face brioche doree,-0.1110368944630054
Chauffe eau,1.0,Patte d‘oie Dakar,a vendre chauffe eaux litres plusieurs marques disponibles,-0.129227783429683
Tablette graphique,34000.0,Parcelles Assainies Dakar,tablette graphique idéal retouche photo ordinateur dessin ordinateur powerpoint compatible windows mac tous logiciels,-0.11685809535636009
Machines à Barbe à papa,310000.0,Sicap Sacré-cœur Dakar,vente machines barbe papa machine glace machine glace granitabarbe papa electrique gasbarbe papa electriquebarbe papa electrique basseglace icecreamglace granita,-0.016442379945991552
"Machine à Popcorn à Vendre, Evénements, Foires, Kermesse",150000.0,Grand-Yoff Dakar,machine popcorn vendre evénements foires kermesse simple business rentabilité mensuelle,-0.07465438887953854
Coffre - Fort Électronique,,Ouest foire Dakar,coffre fort électronique clavier tactile,
PORTES FENÊTRES BALCON MÉTALLIQUE,,Ngor Dakar,portes fenêtres balcon fer métallique,
KIT CAMAERA ANALOGIQUE HIKVISION 4 CAM,130000.0,Médina Dakar,kit caméra analogique hikvision camkit balle tourelle canaux h mptous canaux prennent charge lecture synchrone jusquà résolution ptechnologie compression h efficacecapacité dencodage jusquà p litep ipssortie hdmivga simultanéela gestion distance disponible lapplication hikconnect,-0.08193088999623191
CAMERA PANORAMIQUE ET PTZ 25X,390000.0,Médina Dakar,caméra panoramique ptz x colorée ir tandemvu mpcapture grande zone superbes détails tempsimagerie panoramique haute qualité résolution mp imagerie détaillée mpexcellentes performances basse lumière grce technologie darkfighter technologie colorvusécurise zone étendue zoom optique zoom numérique vue nocturne étendue distance ir jusquà lumière blanche mprend charge v cc poese concentre classification cibles humaines véhiculaires basée lapprentissage profond,0.012663624520781937
Compresseur et machine à vapeur,175000.0,Sacré-cœur Dakar,compresseur venant hpmachine vapeur,-0.06555876248367182
Escabeau,1.0,Patte d‘oie Dakar,scabeau tres robuste marches marque dingo,-0.129227783429683
Pompe à eau,60000.0,Patte d‘oie Dakar,pompe eau marque kingmax,-0.10739864390465871
Chauffe eau Storm by Ariston 80L,125000.0,Plateau Dakar,nom produitchauffe eau storm by ariston litresdescriptioncapacité brute lidéal personnespuissance wpertes statiques kw heuresrésistance protégée stéatiteanode magnésiumdiamètre hauteur cm cmtype courantmonophaséraccords isolants inclus ouitype poseà fixer mur,-0.08375001527540525
Fauteuil médical electrique,175000.0,Guediawaye Dakar,fauteuil médicale electrique impeccablevisible dakarpossibilité livraison,-0.06555876248367182
camera de video surveillance,245000.0,Nord foire Dakar,vente installation video surveillance,-0.040091008575245016
"Led en rouleaux 100m, professionnel, IP67",75000.0,Ngaparou Thiès,modèle professionnel solide mm large x long multicolore livré contrôleur jonction télécommande multimode couleur dun seul clictension v heures vievendu uniquement rouleau completsur ngaparou,-0.10194126806713869
ONDULEUR HYBRIDE 4.5 KW  -  400 hz,350000.0,Ngaparou Thiès,onduleur veikong hybride kwdc voltage vdc vdctension dentrée recommandée v v vvtension dentrée fonctionnement recommandée v vmpp v vmpptension sortie nominale phase vac phases vacrefroidissement airmatériel très solide dure années sans entretien,-0.001889377712604809
"“THETA – Son Pur, Liberté Totale”",25000.0,Ouakam Dakar,plongez univers sonore sans limites écouteurs sans fil theta conçus passionnés gaming amoureux musique grce qualité audio hd immersion totale chaque détail sonore devient palpable basses puissantes aigus cristallins optimisés longues sessions écouteurs offrent confort exceptionnel autonomie plusieurs heures rester connectée passion où faites lexpérience theta laissezvous envelopper pur profond transporte jeux playlist préférée redéfinissez écoute jouez vibrez vivez sans fil,-0.12013252085887212
AGGLOS ET PAVES INDUSTRIELS,300.0,Yoff Dakar,agglos paves industriels bonne qualité disponibles,-0.12911899973798843
"GRAVIERS , BRIQUES INDUSTRIELLES ET PAVÉS",300.0,Yoff Dakar,graviers briques industrielles paves industriels très bonne qualité disponibles chez sarl,-0.12911899973798843
Amplificateur Booster Réseaux GSM/3G/4G,150000.0,Hlm Dakar,descriptionfini pertes réseau chez immeuble appartements parking sous terrain village pleine mer solution là achetez installez amplificateur réseau gsm ggg triband mhzainsi faites laise resterez toujours joignable grottecest lidéal remédier soucis réseau car booster signal mobile venu dappointjoignez whatsapp mail téléphone si nécessaire,-0.07465438887953854
camera de vidéo surveillance,,Nord foire Dakar,vente installation vidéo surveillance,
VENTE + INSTALLATION,10.0,Nord foire Dakar,vente installation vidéo surveillance,-0.12922450900418048
grillage,,Plateau Dakar,khelcome business offre clôtures grillages air jeux rigide grillage pvc grille clôture tendeur fil tendeur galva fil tension poteau piquet jambe force poteau tension piquet tension barbelés sécurité maisons entreprises terrains champs autres service pose livraison disponible,
tole pvc tuile bac aluzinc ardoise zinc,,Plateau Dakar,khelcome business offre toitures couverture tole bac acier ondule tole pvc tole tuile bac tuile plastique panneau tuile plaque pvc imitation tuile tôle imitation tuile auvent fenêtre auvent terrasse auvent jardin bac zinc alu tuile métallique bac tuile ondiculaire zinc bac plastique ardoise plastique ardoise fibrociment etc tout accessoire poutrelle fer bois crochet fixateur,
4 Caméras 2mp + Dvr + disk dur,75000.0,Dieuppeul Dakar,caméras dvr port disk dur gokit caméras megapixel chacune cables chacun dvr port disc govisionage distancevison nocturnecaméras in outxm cablesdvr portdisc gogaranties mois,-0.10194126806713869
4 Caméras IP poe 4mp color vu + Nvr poe + disk,150000.0,Dieuppeul Dakar,micro audio caméras ip poe mp nvr ports poe disk durkit vidéo surveillance to nvr x mpcaméra ip poe ip etanchevision nocturne exir mdétection movementvous pouvez visualiser vidéos via telephone partout où etes mondegaranties ans,-0.07465438887953854
Carreaux 60X60,,Dalifort Dakar,carreaux x disponible,
Carte Mebay,55000.0,Rufisque Dakar,plusieurs types modulescertains contrôlables distance cestàdire pouvez allumer éteindre groupe électrogène distance où monde pouvez aussi avoir temps réel pression huile température niveau carburant,-0.10921776918383205
Groupe électrogène 110kva,5500000.0,Rufisque Dakar,vendons aussi dautres pièces groupe électrogène,1.8718096598359388
Inverseur Automatique Motorisé 63A à 2000A,100000.0,Rufisque Dakar,vendons inverseurs automatiques motorisés très bonnes qualités autres pièces groupes électrogènes,-0.09284564167127196
EZVIZ CS-H8C 4G (3MP),65000.0,Plateau Dakar,ezviz caméra ip wifi dextérieur panoramique inclinable g mp k journuit description produit type produit caméra surveillance g marque ezviz modèle cshc g mp rkkfga résolution mp x utilisation extérieur alimentation dc va vision nuit oui détection mouvement prise charge suivi automatique prise charge zone dalerte personnalisée prise charge communication bidirectionnelle prise charge emplacements prédéfinis angle pt pan inclinaison stockage local carte microsd jusquà go stockage cloud supports ezviz cloudplay storage,-0.10557951862548537
Cuisine non équipée,450000.0,Hann Bel-Air Dakar,vendons cuisines cms sans équipements éléctroménagers importées allemagne,0.034493127870862055
Spot deux  et trois têtes,8000.0,Almadies Dakar,spot deux trois têtes,-0.12631754680806148
Vente et installation de vidéo Surveillance,,Nord foire Dakar,vente installation vidéo surveillance,
Chargeur Caterpillar IT14G,16000000.0,Mboro Thiès,chargeur caterpillar itg très état a vendre a darou khoudoss mboro,5.691972746099959
Zinc Ondulé Laqué à vendre,6500.0,Thiaroye Dakar,vendons zincs ondulés laqués couleur gris blanc lait gris cendre importés ditalie disponibles depot thiaroye route nationale,-0.1268632843918135
Tire bouchon éléctrique,13500.0,Fass Dakar,ouvrebouteille vin électrique ouvrebouteilles vin rechargeables tirebouchon automatique réutilisable bouton unclick amateurs vin cadeau maison cuisine fête bar mariage noirrouge,-0.1243165090009708
PROMOTION POLEL CARREAUX 60X60,5500.0,Parcelles Assainies Dakar,merci contacter si intéressés,-0.12722710944764815
Lampe Solaire Détecteur de mouvement,35000.0,Parcelles Assainies Dakar,merci contacter si intéressés,-0.11649427030052542
CARREAUX,1.0,Parcelles Assainies Dakar,merci contacter si intéressés,-0.129227783429683
Ensemble Chaise Anglaise,130000.0,Parcelles Assainies Dakar,merci contacter si intéressés,-0.08193088999623191
Robinet antivol avec serrure à clé,8500.0,Cité avion Dakar,protégez eau style sécurité découvrez robinet antivol serrure clé solution idéale sécuriser point deau contre tout usage non autorisé serrure intégrée seul détenteur clé peut lutiliser matériau durable résiste intempéries temps facile installer compatible plupart installations laissez plus goutte deau séchapper inutilement faites choix dun robinet pratique sécurisé esthétique commandez dès maintenant bénéficiez livraison rapide domicile sécuritéeau robinetantivol économiedeau,-0.12613563428014415
BIOTECHNOLOGIES : MÉDECINE TRADITIONNELLE CHINOISE,5000.0,Ngor Dakar,biotechnologies médecine traditionnelle chinoisepour traitement certains maladies tél quediabète hémorrode drépanocytose glaucome cataracte prostate paludismefièvre nerf sciatique ulcère tensionavc bronchite asthme sinusite fibrome arthrose ndokhoumsitii parkinson goitre allergie myopie infertilité féminine dis fonctionnement érectile douleur colonne vertébrale amygdale anémie masse musculairesportif infertilité masculine ballonnement diarrhée vers enfant paralysie perte mémoire dermatose perte poids insomnietuberculose anti tabac anti alcool estomac cancer ejaculation précoce hépatite etcconsultations billan général millemassage fauteuil millenous produits base plantes siége dakar mbourtouba ziguinchor kaolack saint louis keur massar,-0.12740902197556547
